,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536
1,3.77e-07,2.37e-07,1.48e-07,4e-07,2.68e-07,1.52e-07,1.69e-07,2.66e-07,2.58e-07,2.87e-07,3.64e-07,3.98e-07,5.69e-07,4.13e-07,7.89e-07,5.87e-07,6.6e-07
2,3.23e-07,2e-07,4.37e-07,5e-07,8.86e-07,1.68e-06,3.35e-06,6.03e-06,1.19e-05,2.46e-05,6.06e-05,9.56e-05,0.000201,0.000564,0.00112,0.00216,0.00432
4,5.04e-07,5.12e-07,7.72e-07,1.53e-06,3.38e-06,6.78e-06,1.26e-05,2.61e-05,5.18e-05,0.000103,0.000207,0.000405,0.000862,0.00162,0.0033,0.00636,0.00914
8,6.42e-07,8.56e-07,1.41e-06,2.87e-06,5.48e-06,1.55e-05,2.96e-05,4.15e-05,8.06e-05,0.000165,0.000331,0.000668,0.00134,0.00267,0.00541,0.0107,0.0234
16,1.28e-06,1.68e-06,3.1e-06,5.06e-06,1.08e-05,1.9e-05,6.69e-05,0.000136,0.000268,0.000515,0.00107,0.00217,0.00285,0.00568,0.0129,0.0262,0.0455
32,1.62e-06,2.36e-06,4.06e-06,7.61e-06,1.51e-05,3.18e-05,8.52e-05,0.000177,0.000372,0.000738,0.00147,0.0029,0.00604,0.0118,0.0236,0.0474,0.0979
64,2.91e-06,4.16e-06,8.29e-06,1.29e-05,2.4e-05,4.61e-05,9.02e-05,0.00018,0.000739,0.00151,0.00297,0.00604,0.012,0.0244,0.0603,0.0962,0.193
128,8.74e-06,1.24e-05,1.63e-05,2.56e-05,4.76e-05,9.22e-05,0.000181,0.000418,0.000726,0.00301,0.00608,0.012,0.0242,0.0483,0.0966,0.193,0.386
256,1.46e-05,2.09e-05,3.17e-05,5.87e-05,0.000111,0.000185,0.000362,0.000717,0.00144,0.00583,0.012,0.0242,0.0485,0.0969,0.194,0.388,0.777
512,2.9e-05,4.77e-05,8.07e-05,0.000104,0.000191,0.000392,0.000723,0.00143,0.00293,0.00574,0.0237,0.0486,0.0975,0.193,0.388,0.781,1.56
1024,4.57e-05,6.24e-05,0.000164,0.000241,0.000401,0.000769,0.00152,0.00291,0.00588,0.0118,0.0242,0.0968,0.207,0.412,0.787,1.59,3.21
2048,8.53e-05,0.000193,0.000263,0.000443,0.00077,0.00149,0.0029,0.00578,0.0115,0.0231,0.0461,0.0922,0.505,0.834,1.75,3.27,6.33
4096,0.000195,0.000255,0.000527,0.000813,0.00153,0.00297,0.00585,0.0115,0.0232,0.0466,0.0941,0.187,0.372,1.56,3.21,6.39,12.8
8192,0.000416,0.000479,0.000926,0.00163,0.00305,0.0059,0.0116,0.0233,0.0466,0.0958,0.193,0.385,0.768,1.54,6.41,13.1,26.2
